# train_destination max_weight_in_tons
D 140
C 190
C 190
E 150
A 240
B 80
E 220
D 150
D 190
D 240
C 190
C 90
C 240
C 80
D 160
D 110
E 120
D 230
D 160
C 220
B 90
B 210
C 110
D 160
E 210
C 160
D 70
B 110
A 220
B 80
C 220
E 70
D 140
D 140
C 100
A 140
E 160
E 140
A 230
D 210
D 120
D 120
D 70
A 210
B 70
C 140
E 130
B 210
C 150
D 240
C 160
C 240
E 230
C 190
A 200
D 170
D 200
B 230
A 180
C 90
D 200
E 170
A 130
B 130
A 140
D 110
B 120
B 140
A 180
D 120
B 80
B 130
D 230
B 230
E 140
E 150
C 140
E 160
D 230
C 240
C 160
E 100
B 170
B 80
B 120
B 100
D 160
E 130
D 190
E 130
B 190
C 100
B 70
A 210
C 220
E 200
E 200
A 100
E 180
B 100
