Country Code,Year,data_quality_life_expectancy,Income,Population,Country,Region
afg,1800,4,683,3280000,Afghanistan,asia
afg,1801,4,683,3280000,Afghanistan,asia
afg,1802,4,683,3280000,Afghanistan,asia
afg,1803,4,683,3280000,Afghanistan,asia
afg,1804,4,683,3280000,Afghanistan,asia
afg,1805,4,683,3280000,Afghanistan,asia
afg,1806,4,683,3280000,Afghanistan,asia
afg,1807,4,683,3280000,Afghanistan,asia
afg,1808,4,683,3280000,Afghanistan,asia
afg,1809,4,683,3280000,Afghanistan,asia
afg,1810,4,684,3280000,Afghanistan,asia
afg,1811,4,684,3280000,Afghanistan,asia
afg,1812,4,684,3280000,Afghanistan,asia
afg,1813,4,684,3280000,Afghanistan,asia
afg,1814,4,684,3280000,Afghanistan,asia
afg,1815,4,684,3280000,Afghanistan,asia
afg,1816,4,684,3280000,Afghanistan,asia
afg,1817,4,684,3280000,Afghanistan,asia
afg,1818,4,684,3280000,Afghanistan,asia
afg,1819,4,684,3282935,Afghanistan,asia
afg,1820,4,684,3288817,Afghanistan,asia
afg,1821,4,687,3297661,Afghanistan,asia
afg,1822,4,689,3309479,Afghanistan,asia
afg,1823,4,692,3324285,Afghanistan,asia
afg,1824,4,694,3339157,Afghanistan,asia
afg,1825,4,696,3354095,Afghanistan,asia
afg,1826,4,698,3369101,Afghanistan,asia
afg,1827,4,701,3384173,Afghanistan,asia
afg,1828,4,703,3399313,Afghanistan,asia
afg,1829,4,705,3414520,Afghanistan,asia
afg,1830,4,708,3429796,Afghanistan,asia
afg,1831,4,710,3445140,Afghanistan,asia
afg,1832,4,713,3460553,Afghanistan,asia
afg,1833,4,715,3476034,Afghanistan,asia
afg,1834,4,718,3491585,Afghanistan,asia
afg,1835,4,720,3507205,Afghanistan,asia
afg,1836,4,722,3522896,Afghanistan,asia
afg,1837,4,725,3538656,Afghanistan,asia
afg,1838,4,728,3554487,Afghanistan,asia
afg,1839,4,730,3570389,Afghanistan,asia
afg,1840,4,732,3586362,Afghanistan,asia
afg,1841,4,735,3602406,Afghanistan,asia
afg,1842,4,737,3618522,Afghanistan,asia
afg,1843,4,740,3634711,Afghanistan,asia
afg,1844,4,743,3650971,Afghanistan,asia
afg,1845,4,745,3667305,Afghanistan,asia
afg,1846,4,747,3683711,Afghanistan,asia
afg,1847,4,751,3700191,Afghanistan,asia
afg,1848,4,753,3716745,Afghanistan,asia
afg,1849,4,755,3734342,Afghanistan,asia
afg,1850,4,757,3752993,Afghanistan,asia
afg,1851,4,761,3769828,Afghanistan,asia
afg,1852,4,763,3787706,Afghanistan,asia
afg,1853,4,765,3806634,Afghanistan,asia
afg,1854,4,768,3825655,Afghanistan,asia
afg,1855,4,771,3844769,Afghanistan,asia
afg,1856,4,773,3863976,Afghanistan,asia
afg,1857,4,775,3883276,Afghanistan,asia
afg,1858,4,779,3902671,Afghanistan,asia
afg,1859,4,781,3922160,Afghanistan,asia
afg,1860,4,783,3941745,Afghanistan,asia
afg,1861,4,787,3961424,Afghanistan,asia
afg,1862,4,789,3981200,Afghanistan,asia
afg,1863,4,791,4001072,Afghanistan,asia
afg,1864,4,795,4021041,Afghanistan,asia
afg,1865,4,797,4041107,Afghanistan,asia
afg,1866,4,800,4061270,Afghanistan,asia
afg,1867,4,803,4081532,Afghanistan,asia
afg,1868,4,805,4101893,Afghanistan,asia
afg,1869,4,808,4122358,Afghanistan,asia
afg,1870,4,811,4142928,Afghanistan,asia
afg,1871,4,814,4163604,Afghanistan,asia
afg,1872,4,816,4184386,Afghanistan,asia
afg,1873,4,820,4205274,Afghanistan,asia
afg,1874,4,822,4226265,Afghanistan,asia
afg,1875,4,825,4247357,Afghanistan,asia
afg,1876,4,828,4268552,Afghanistan,asia
afg,1877,4,831,4289851,Afghanistan,asia
afg,1878,4,833,4311253,Afghanistan,asia
afg,1879,4,837,4332759,Afghanistan,asia
afg,1880,4,839,4354370,Afghanistan,asia
afg,1881,4,852,4376086,Afghanistan,asia
afg,1882,4,863,4397907,Afghanistan,asia
afg,1883,4,876,4419835,Afghanistan,asia
afg,1884,4,887,4441869,Afghanistan,asia
afg,1885,4,899,4464010,Afghanistan,asia
afg,1886,4,910,4486259,Afghanistan,asia
afg,1887,4,922,4508616,Afghanistan,asia
afg,1888,4,933,4531082,Afghanistan,asia
afg,1889,4,944,4553657,Afghanistan,asia
afg,1890,4,955,4576341,Afghanistan,asia
afg,1891,4,965,4599136,Afghanistan,asia
afg,1892,4,976,4622041,Afghanistan,asia
afg,1893,4,986,4645058,Afghanistan,asia
afg,1894,4,997,4668186,Afghanistan,asia
afg,1895,4,1007,4691426,Afghanistan,asia
afg,1896,4,1016,4714779,Afghanistan,asia
afg,1897,4,1026,4738246,Afghanistan,asia
afg,1898,4,1036,4761826,Afghanistan,asia
afg,1899,4,1044,4793171,Afghanistan,asia
afg,1900,4,1054,4832414,Afghanistan,asia
afg,1901,4,1063,4879685,Afghanistan,asia
afg,1902,4,1071,4935122,Afghanistan,asia
afg,1903,4,1080,4998861,Afghanistan,asia
afg,1904,4,1089,5063419,Afghanistan,asia
afg,1905,4,1097,5128808,Afghanistan,asia
afg,1906,4,1104,5195038,Afghanistan,asia
