"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"NO000050540","BERGEN FLORIDA, NO","2018-01-01","6.9","0.0","4.3","5.8","3.4"
"NO000050540","BERGEN FLORIDA, NO","2018-01-02","2.9","0.0","2.8","3.5","1.9"
"NO000050540","BERGEN FLORIDA, NO","2018-01-03","0.0","0.0","4.8","6.6","2.5"
"NO000050540","BERGEN FLORIDA, NO","2018-01-04","0.0","0.0","-0.1","5.5","-2.0"
"NO000050540","BERGEN FLORIDA, NO","2018-01-05","0.0","0.0","-1.3","1.1","-2.2"
"NO000050540","BERGEN FLORIDA, NO","2018-01-06","0.4","0.0","-1.4","0.6","-3.3"
"NO000050540","BERGEN FLORIDA, NO","2018-01-07","12.0","0.0","1.1","4.1","-5.0"
"NO000050540","BERGEN FLORIDA, NO","2018-01-08","0.0","0.0","3.6","4.8","2.1"
"NO000050540","BERGEN FLORIDA, NO","2018-01-09","0.0","0.0","4.1","9.9","-2.8"
"NO000050540","BERGEN FLORIDA, NO","2018-01-10","2.0","0.0","6.3","9.5","4.1"
"NO000050540","BERGEN FLORIDA, NO","2018-01-11","0.0","0.0","4.3","5.6","3.4"
"NO000050540","BERGEN FLORIDA, NO","2018-01-12","0.0","0.0","2.1","4.8","0.9"
"NO000050540","BERGEN FLORIDA, NO","2018-01-13","0.0","0.0","0.9","2.8","-2.4"
"NO000050540","BERGEN FLORIDA, NO","2018-01-14","0.0","0.0","3.1","5.1","2.1"
"NO000050540","BERGEN FLORIDA, NO","2018-01-15","9.8","0.0","4.4","6.7","2.0"
"NO000050540","BERGEN FLORIDA, NO","2018-01-16","10.4","0.0","1.4","5.1","0.7"
"NO000050540","BERGEN FLORIDA, NO","2018-01-17","2.1","0.0","1.1","1.7","0.6"
"NO000050540","BERGEN FLORIDA, NO","2018-01-18","2.6","20.0","1.5","2.1","0.6"
"NO000050540","BERGEN FLORIDA, NO","2018-01-19","2.6","40.0","1.3","2.0","0.4"
"NO000050540","BERGEN FLORIDA, NO","2018-01-20","0.0","30.0","1.5","3.2","0.8"
"NO000050540","BERGEN FLORIDA, NO","2018-01-21","0.0","20.0","0.9","4.7","-1.3"
"NO000050540","BERGEN FLORIDA, NO","2018-01-22","4.0","20.0","3.1","4.4","1.0"
"NO000050540","BERGEN FLORIDA, NO","2018-01-23","24.1","10.0","4.4","5.5","1.7"
"NO000050540","BERGEN FLORIDA, NO","2018-01-24","19.3","0.0","6.2","7.8","4.8"
"NO000050540","BERGEN FLORIDA, NO","2018-01-25","10.7","0.0","5.2","6.8","4.2"
"NO000050540","BERGEN FLORIDA, NO","2018-01-26","4.0","0.0","1.4","4.6","0.2"
"NO000050540","BERGEN FLORIDA, NO","2018-01-27","29.6","0.0","2.7","4.8","-0.2"
"NO000050540","BERGEN FLORIDA, NO","2018-01-28","12.6","0.0","5.8","7.1","3.1"
"NO000050540","BERGEN FLORIDA, NO","2018-01-29","16.7","0.0","3.0","5.8","0.8"
"NO000050540","BERGEN FLORIDA, NO","2018-01-30","34.9","0.0","3.5","5.5","1.1"
"NO000050540","BERGEN FLORIDA, NO","2018-01-31","11.8","0.0","2.6","5.8","1.0"
"NO000050540","BERGEN FLORIDA, NO","2018-02-01","0.0","0.0","2.4","5.0","-0.5"
"NO000050540","BERGEN FLORIDA, NO","2018-02-02","0.0","0.0","1.2","4.3","-1.7"
"NO000050540","BERGEN FLORIDA, NO","2018-02-03","0.2","0.0","-0.1","3.5","-1.7"
"NO000050540","BERGEN FLORIDA, NO","2018-02-04","0.0","0.0","-2.5","2.2","-5.6"
"NO000050540","BERGEN FLORIDA, NO","2018-02-05","0.4","0.0","0.2","1.0","-1.2"
"NO000050540","BERGEN FLORIDA, NO","2018-02-06","0.2","0.0","-0.1","1.1","-1.3"
"NO000050540","BERGEN FLORIDA, NO","2018-02-07","4.7","0.0","0.6","1.7","-0.7"
"NO000050540","BERGEN FLORIDA, NO","2018-02-08","18.2","30.0","2.1","2.9","0.2"
"NO000050540","BERGEN FLORIDA, NO","2018-02-09","34.4","0.0","2.9","4.7","1.9"
"NO000050540","BERGEN FLORIDA, NO","2018-02-10","2.5","10.0","2.5","3.8","0.4"
"NO000050540","BERGEN FLORIDA, NO","2018-02-11","6.2","0.0","2.0","5.1","0.6"
"NO000050540","BERGEN FLORIDA, NO","2018-02-12","4.6","30.0","0.1","1.2","-0.8"
"NO000050540","BERGEN FLORIDA, NO","2018-02-13","16.8","60.0","3.1","5.1","-0.7"
"NO000050540","BERGEN FLORIDA, NO","2018-02-14","8.3","30.0","3.8","5.3","0.4"
"NO000050540","BERGEN FLORIDA, NO","2018-02-15","3.3","0.0","3.2","5.3","1.6"
"NO000050540","BERGEN FLORIDA, NO","2018-02-16","4.7","0.0","2.9","4.5","0.9"
"NO000050540","BERGEN FLORIDA, NO","2018-02-17","15.5","0.0","4.3","5.7","2.3"
"NO000050540","BERGEN FLORIDA, NO","2018-02-18","2.9","0.0","2.3","5.4","1.2"
"NO000050540","BERGEN FLORIDA, NO","2018-02-19","0.0","0.0","0.7","6.1","-1.9"
"NO000050540","BERGEN FLORIDA, NO","2018-02-20","1.3","0.0","0.4","5.1","-3.8"
